CNetID;Niveau_1;Synoniemen
8.23.0.0.0;Ambassades en Consulaten;
8.38.0.0.0;Andere types van organisatie;
8.2.0.0.0;Archieven, Documentatiecentra en Bewaarbibliotheken;Archief, documentatiecentrum, bewaarbibliotheek.
8.0.0.0.0;Artistieke gezelschappen / uitvoerder;Artistiek gezelschap, groep, uitvoerder
8.0.1.0.0;Band;
8.0.2.0.0;instrumentaal ensemble;
8.0.3.0.0;Koor;
8.0.4.0.0;orkest;
8.0.5.0.0;Vocaal ensemble;
8.0.6.0.0;vocaal-instrumentaal ensemble;
8.37.0.0.0;Beweging;Vakorganisatie, vakbeweging
8.1.0.0.0;Bibliotheken;
8.1.1.0.0;Openbare bibliotheken;Bibliotheek
8.1.2.0.0;Gespecialiseerde bibliotheken;Gespecialiseerde bibliotheek
8.1.3.0.0;Wetenschappelijke bibliotheken;Wetenschappelijke bibliotheek
8.1.4.0.0;Schoolbibliotheken;Schoolbibliotheek
8.12.0.0.0;Boekingskantoren;Boekingskantoor
8.42.0.0.0;Boerderij (landbouwbedrijf);
8.7.0.0.0;Casino’s;Casino
8.8.0.0.0;Clubs en Café’s;Club, café, Muziekcafé
8.6.0.0.0;Culturele- en Gemeenschapscentra;Cultureel centrum, Gemeenschapscentrum
8.27.0.0.0;Diamant en Juweelnijverheid;
8.32.0.0.0;Discotheken;
8.26.0.0.0;Grafische industrie;
8.43.0.0.0;Grootwarenhuis;
8.28.0.0.0;Havens;
8.29.0.0.0;Hotels;
8.30.0.0.0;Jeugdherbergen;
8.21.0.0.0;Jeugdorganisaties;
8.21.1.0.0;Jeugdcentra;
8.21.2.0.0;Jongereninformatiepunten (JIP’s);
8.21.3.0.0;Jeugdateliers;
8.21.4.0.0;Jeugdhuizen;
8.21.5.0.0;Jeugddiensten;
8.21.6.0.0;Jeugdraden;
8.21.7.0.0;Zuilgebonden Jeugdverenigingen;
8.21.8.0.0;Andere Jeugdverenigingen;
8.4.0.0.0;Kunstgalerijen;Kunstgalerij, Galerijen, galerij
8.5.0.0.0;Kunstencentra;
8.5.1.0.0;Erkende kunstencentra;Kunstencentrum
8.5.2.0.0;Niet-erkende kunstencentra;Niet-erkend kunstencentrum
8.15.0.0.0;Lokatie;
8.16.0.0.0;Lokator;
8.13.0.0.0;Managementbureau’s;Managementbureau, agentschap
8.39.0.0.0;Materialen en benodigdheden;
8.19.0.0.0;Mediamaatschappijen;Mediamaatschappij
8.3.0.0.0;Musea;
8.3.1.0.0;Erkende musea;Museum
8.3.2.0.0;Niet-erkende musea;Museum
8.10.0.0.0;Onderwijsinstellingen;
8.10.1.0.0;Deeltijds Kunstonderwijs;DKO
8.10.2.0.0;Kleuter –en Lageronderwijs;Kleuterschool
8.10.3.0.0;Secundair Onderwijs;Humaniora
8.10.4.0.0;Hoger Onderwijs;Hogescholen, hogeschool
8.10.5.0.0;Universitair Onderwijs;Univ
8.10.6.0.0;Volwassenenonderwijs (formeel);Avondschool, avondonderwijs, volwassenenonderwijs
8.11.0.0.0;Organisatoren van aanbod;
8.22.0.0.0;Overheidsinstellingen;
8.22.1.0.0;Vlaams;
8.22.2.0.0;Provinciaal;
8.22.3.0.0;Lokaal;
8.25.0.0.0;Pers;
8.24.0.0.0;Politieke partijen;
8.17.0.0.0;Producent;
8.14.0.0.0;Reservatie- en Verkooppunten;Reservatiepunt, verkooppunt
8.44.0.0.0;Restaurants;
8.20.0.0.0;Sociaal-Culturele Volwassenenorganisaties;
8.20.1.0.0;Verenigingen;
8.20.2.0.0;Bewegingen;
8.20.3.0.0;Vormingsinstellingen;
8.20.3.1.0;Gespecialiseerde vormingsinstellingen;
8.20.3.2.0;Volkshogescholen;
8.20.3.3.0;Andere;
8.20.4.0.0;Andere;
8.34.0.0.0;Steunpunten en Koepelorganisaties;
8.33.0.0.0;Thema- en Pretparken;
8.18.0.0.0;Uitgeverijen en platenmaatschappijen;Uitgeverij, boekenuitgeverij, literaire uitgeverij, muziekuitgeverij, platenmaatschappij, muziekindustrie
8.31.0.0.0;Vakantie –en Kampeercentra;
8.35.0.0.0;Vereniging;Organisatie
8.9.0.0.0;Vertoonplaatsen Film;
8.9.1.0.0;Bioscopen;Bioscoop, bioscooptheater, cinema
8.9.2.0.0;Filmmusea;Filmmuseum
8.9.3.0.0;Filmzalen;Filmzaal
8.45.0.0.0;Voedingsbedrijf;
8.36.0.0.0;Vormingsinstelling;
8.40.0.0.0;Winkel ;shop, handel, museumshop,…
8.41.0.0.0;Type organisatie onbepaald;
